Nome,Patrimonio,Salario
Herdeiro_1,20000000,0
Herdeiro_2,20000000,0
Herdeiro_3,20000000,0
Herdeiro_4,20000000,0
Herdeiro_5,20000000,0
Supersalario_1,200000,100000
Supersalario_2,195000,95000
Supersalario_3,190000,90000
Supersalario_4,185000,85000
Supersalario_5,180000,80000
Supersalario_6,175000,75000
Supersalario_7,170000,70000
Supersalario_8,165000,65000
Supersalario_9,160000,60000
Supersalario_10,155000,55000
MediaAlta_1,100000,30000
MediaAlta_2,99000,29000
MediaAlta_3,98000,28000
MediaAlta_4,97000,27000
MediaAlta_5,96000,26000
MediaAlta_6,95000,25000
MediaAlta_7,94000,24000
MediaAlta_8,93000,23000
MediaAlta_9,92000,22000
MediaAlta_10,91000,21000
MediaAlta_11,90000,20000
MediaAlta_12,89000,19000
MediaAlta_13,88000,18000
MediaAlta_14,87000,17000
MediaAlta_15,86000,16000
MediaAlta_16,85000,15000
MediaAlta_17,84000,14000
MediaAlta_18,83000,13000
MediaAlta_19,82000,12000
MediaAlta_20,81000,11000
MediaAlta_21,80000,10000
MediaAlta_22,79000,9000
MediaAlta_23,78000,8000
MediaAlta_24,77000,7000
MediaAlta_25,76000,6000
Baixa_1,10000,5000
Baixa_2,9950,4950
Baixa_3,9900,4900
Baixa_4,9850,4850
Baixa_5,9800,4800
Baixa_6,9750,4750
Baixa_7,9700,4700
Baixa_8,9650,4650
Baixa_9,9600,4600
Baixa_10,9550,4550
Baixa_11,9500,4500
Baixa_12,9450,4450
Baixa_13,9400,4400
Baixa_14,9350,4350
Baixa_15,9300,4300
Baixa_16,9250,4250
Baixa_17,9200,4200
Baixa_18,9150,4150
Baixa_19,9100,4100
Baixa_20,9050,4050
Baixa_21,9000,4000
Baixa_22,8950,3950
Baixa_23,8900,3900
Baixa_24,8850,3850
Baixa_25,8800,3800
Baixa_26,8750,3750
Baixa_27,8700,3700
Baixa_28,8650,3650
Baixa_29,8600,3600
Baixa_30,8550,3550
Baixa_31,8500,3500
Baixa_32,8450,3450
Baixa_33,8400,3400
Baixa_34,8350,3350
Baixa_35,8300,3300
Baixa_36,8250,3250
Baixa_37,8200,3200
Baixa_38,8150,3150
Baixa_39,8100,3100
Baixa_40,8050,3050
Baixa_41,8000,3000
Baixa_42,7950,2950
Baixa_43,7900,2900
Baixa_44,7850,2850
Baixa_45,7800,2800
Baixa_46,7750,2750
Baixa_47,7700,2700
Baixa_48,7650,2650
Baixa_49,7600,2600
Baixa_50,7550,2550
SalarioMinimo_1,10000,1518
SalarioMinimo_2,10000,1518
SalarioMinimo_3,10000,1518
SalarioMinimo_4,10000,1518
SalarioMinimo_5,10000,1518
SalarioMinimo_6,10000,1518
SalarioMinimo_7,10000,1518
SalarioMinimo_8,10000,1518
SalarioMinimo_9,10000,1518
SalarioMinimo_10,10000,1518
SalarioMinimo_11,10000,1518
SalarioMinimo_12,10000,1518
SalarioMinimo_13,10000,1518
SalarioMinimo_14,10000,1518
SalarioMinimo_15,10000,1518
SalarioMinimo_16,10000,1518
SalarioMinimo_17,10000,1518
SalarioMinimo_18,10000,1518
SalarioMinimo_19,10000,1518
SalarioMinimo_20,10000,1518
SalarioMinimo_21,10000,1518
SalarioMinimo_22,10000,1518
SalarioMinimo_23,10000,1518
SalarioMinimo_24,10000,1518
SalarioMinimo_25,10000,1518
SalarioMinimo_26,10000,1518
SalarioMinimo_27,10000,1518
SalarioMinimo_28,10000,1518
SalarioMinimo_29,10000,1518
SalarioMinimo_30,10000,1518
SalarioMinimo_31,10000,1518
SalarioMinimo_32,10000,1518
SalarioMinimo_33,10000,1518
SalarioMinimo_34,10000,1518
SalarioMinimo_35,10000,1518
SalarioMinimo_36,10000,1518
SalarioMinimo_37,10000,1518
SalarioMinimo_38,10000,1518
SalarioMinimo_39,10000,1518
SalarioMinimo_40,10000,1518
SalarioMinimo_41,10000,1518
SalarioMinimo_42,10000,1518
SalarioMinimo_43,10000,1518
SalarioMinimo_44,10000,1518
SalarioMinimo_45,10000,1518
SalarioMinimo_46,10000,1518
SalarioMinimo_47,10000,1518
SalarioMinimo_48,10000,1518
SalarioMinimo_49,10000,1518
SalarioMinimo_50,10000,1518
SalarioMinimo_51,10000,1518
SalarioMinimo_52,10000,1518
SalarioMinimo_53,10000,1518
SalarioMinimo_54,10000,1518
SalarioMinimo_55,10000,1518
SalarioMinimo_56,10000,1518
SalarioMinimo_57,10000,1518
SalarioMinimo_58,10000,1518
SalarioMinimo_59,10000,1518
SalarioMinimo_60,10000,1518
SalarioMinimo_61,10000,1518
SalarioMinimo_62,10000,1518
SalarioMinimo_63,10000,1518
SalarioMinimo_64,10000,1518
SalarioMinimo_65,10000,1518
SalarioMinimo_66,10000,1518
SalarioMinimo_67,10000,1518
SalarioMinimo_68,10000,1518
SalarioMinimo_69,10000,1518
SalarioMinimo_70,10000,1518
